offset,PDemand Feature,Day1,Day2,Hour Index,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,Courthouse y
1,2.346676843,1,0,0.650083607,0,0,1,0,1,0,0,0,0,1.384751914,1.4371399409999999,0.13959691800000001,6.879997105,0.73193656,1253.0
1,0.262430283,0,1,-0.505620583,0,0,1,0,0,0,0,1,0,0.854272147,0.28798726399999997,1.4193430530000002,-0.163486338,0.45882403200000005,622.0
1,-0.084944144,1,0,-0.939009654,0,1,0,0,0,1,0,0,0,-0.524975248,-0.286589075,-0.679440609,-0.163486338,0.18571150399999997,466.0
1,-0.770470668,1,0,1.372398725,1,0,0,0,0,0,0,0,1,-0.524975248,-0.17167380699999998,-0.88419999,-0.163486338,-0.087401025,239.0
1,1.688817309,1,0,-0.36115755899999996,0,0,1,0,0,0,0,1,0,1.27865596,1.6095128419999998,-0.372301536,-0.163486338,-1.452963667,1125.0
1,-0.779692997,0,1,-0.072231512,0,0,1,0,0,0,0,1,0,1.43779989,1.092394138,1.00982429,1.345831543,-0.087401025,245.0
1,0.268578503,0,1,-0.36115755899999996,0,1,0,0,0,0,0,1,0,-1.9042226430000002,-1.6655722880000001,-1.088959372,-0.163486338,-1.452963667,638.0
1,0.32698659199999996,0,1,1.372398725,0,0,0,1,0,0,0,0,1,-0.47192727100000004,-1.205911217,1.572912589,3.3582553839999996,3.189949317,330.0
1,0.431506331,1,0,-0.36115755899999996,0,0,1,0,0,0,0,1,0,0.64208024,0.575275433,0.190786763,-0.163486338,-0.087401025,694.0
1,1.7410771790000001,1,0,1.372398725,0,0,1,0,0,0,0,0,1,1.27865596,1.494597575,-0.167542155,-0.163486338,-0.087401025,870.0
1,-0.844249307,1,0,0.36115755899999996,0,0,1,0,1,0,0,0,0,0.589032263,0.632733067,-0.065162464,-0.163486338,0.45882403200000005,226.0
1,2.285194644,1,0,0.79454663,0,0,1,0,0,0,1,0,0,1.649991797,1.092394138,1.624102434,9.143973926000001,-0.633626082,1216.0
1,0.735843218,1,0,0.505620583,0,1,0,0,1,0,0,0,0,-0.418879295,-0.631334878,0.190786763,-0.163486338,1.0050490890000001,742.0
1,-0.733581348,1,0,-1.516861749,0,0,1,0,0,0,0,0,1,0.9603681000000001,0.6901907009999999,0.7026852170000001,-0.163486338,-0.633626082,255.0
1,-0.850397527,0,1,-1.516861749,1,0,0,0,0,0,0,0,1,-1.108502992,-0.746250146,-1.088959372,-0.163486338,0.18571150399999997,223.0
1,0.317764262,0,1,1.372398725,0,1,0,0,0,0,0,0,1,-0.153639411,-0.9186230470000001,1.726482125,6.125338165,1.0050490890000001,457.0
1,-0.810434097,1,0,0.650083607,0,0,1,0,1,0,0,0,0,0.64208024,1.494597575,-1.242528908,-0.163486338,-0.633626082,231.0
1,0.812695967,1,0,0.505620583,0,0,0,1,1,0,0,0,0,-0.790215132,-0.401504343,-0.9865796809999999,-0.163486338,1.278161617,754.0
1,-0.46920789,0,1,-1.661324773,0,0,1,0,0,0,0,0,1,1.649991797,1.092394138,1.624102434,-0.163486338,-0.087401025,340.0
1,1.538185921,0,1,1.372398725,0,0,1,0,0,0,0,0,1,0.376840356,0.6901907009999999,-0.5770609179999999,-0.163486338,-0.633626082,826.0
1,-0.825804647,1,0,1.083472678,0,1,0,0,0,0,1,0,0,-0.949359062,0.23052963,-1.9079968980000002,-0.163486338,0.73193656,230.0
1,2.0484881759999998,1,0,0.072231512,0,0,1,0,1,0,0,0,0,0.376840356,1.4371399409999999,-1.498478135,-0.163486338,-0.087401025,1181.0
1,-0.850397527,1,0,0.939009654,0,0,0,1,0,0,1,0,0,0.058552495999999996,-0.688792512,1.777671971,-0.163486338,-1.452963667,220.0
1,-0.773544778,1,0,-0.36115755899999996,0,0,0,1,0,0,0,1,0,-1.6389827590000001,-1.608114654,-0.679440609,-0.163486338,-0.087401025,271.0
1,0.8588076170000001,1,0,0.650083607,1,0,0,0,1,0,0,0,0,0.695128216,0.632733067,0.13959691800000001,-0.163486338,-0.087401025,759.0
1,-0.755100118,1,0,1.661324773,1,0,0,0,0,0,0,0,1,0.48293631,0.058156728,0.9586344440000001,-0.163486338,-1.452963667,236.0
1,-0.46305967,1,0,1.661324773,0,0,1,0,0,0,0,0,1,1.384751914,1.149851771,0.753875063,-0.163486338,-1.452963667,343.0
1,-0.6936179179999999,0,1,-0.939009654,0,0,0,1,0,1,0,0,0,-0.418879295,-1.205911217,1.777671971,1.345831543,1.278161617,319.0
1,-0.795063547,1,0,-0.939009654,0,0,0,1,0,1,0,0,0,-1.055455015,-1.033538315,-0.47468122700000004,-0.163486338,-0.087401025,237.0
1,-0.7274331279999999,1,0,-0.939009654,0,0,1,0,0,1,0,0,0,1.27865596,1.092394138,0.600305526,-0.163486338,-1.452963667,252.0
1,-0.380058701,1,0,1.372398725,0,0,1,0,0,0,0,0,1,0.907320123,1.494597575,-0.833010145,-0.163486338,-0.087401025,356.0
1,0.8772522770000001,1,0,0.650083607,0,0,0,1,1,0,0,0,0,-1.320694899,-0.9760806809999999,-1.088959372,-0.163486338,-0.633626082,792.0
1,-0.6413580489999999,1,0,1.661324773,0,0,1,0,0,0,0,0,1,1.384751914,1.6095128419999998,-0.167542155,-0.163486338,0.18571150399999997,282.0
1,-0.779692997,0,1,-0.21669453600000002,0,0,1,0,0,0,0,1,0,1.384751914,1.4371399409999999,0.13959691800000001,-0.163486338,1.0050490890000001,243.0
1,1.9624130969999998,1,0,0.072231512,1,0,0,0,1,0,0,0,0,0.695128216,0.862563602,-0.269921846,-0.163486338,-0.633626082,1142.0
1,-0.865768077,1,0,-0.650083607,1,0,0,0,0,1,0,0,0,-0.312783341,-0.05675854,-0.679440609,-0.163486338,-0.633626082,219.0
