offset,PDemand Feature,Day1,Day2,Hour Index,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,Office y
1,2.076734438,1,0,0.650083607,0,0,1,0,1,0,0,0,0,0.9603681000000001,1.8393433780000001,-1.191339063,-0.163486338,0.18571150399999997,793
1,-1.001007725,0,1,1.661324773,1,0,0,0,0,0,0,0,1,-0.047543458,-0.05675854,-0.116352309,-0.163486338,-0.087401025,300
1,1.92066232,0,1,-0.21669453600000002,0,0,1,0,0,0,0,1,0,0.9603681000000001,1.8393433780000001,-1.191339063,-0.163486338,-0.087401025,846
1,0.391155566,0,1,0.21669453600000002,0,0,0,1,1,0,0,0,0,-1.851174666,-1.55065702,-1.191339063,-0.163486338,-0.087401025,528
1,-0.713835028,1,0,1.661324773,0,0,0,1,0,0,0,0,1,-1.214598945,-1.033538315,-0.833010145,-0.163486338,-1.452963667,325
1,-0.9011215690000001,1,0,-0.21669453600000002,0,1,0,0,0,0,0,1,0,-0.153639411,-0.17167380699999998,-0.167542155,-0.163486338,-0.633626082,320
1,-0.745049451,0,1,0.650083607,0,0,0,1,1,0,0,0,0,-0.25973536399999997,-0.9760806809999999,1.572912589,0.08806664199999999,0.18571150399999997,342
1,-0.008389055,1,0,0.21669453600000002,0,0,1,0,1,0,0,0,0,0.535984286,0.28798726399999997,0.549115681,0.08806664199999999,-0.633626082,456
1,0.341212488,0,1,0.939009654,0,0,0,1,0,0,1,0,0,-1.798126689,-2.010318091,-0.269921846,-0.163486338,-1.452963667,502
1,0.540984799,1,0,-0.072231512,1,0,0,0,0,0,0,1,0,0.270744403,0.7476483340000001,-0.833010145,-0.163486338,-1.452963667,660
1,-0.176946943,0,1,-1.083472678,0,0,1,0,0,1,0,0,0,0.907320123,1.092394138,-0.218732,-0.163486338,-0.633626082,432
1,-0.6014631029999999,1,0,-1.083472678,0,0,1,0,0,1,0,0,0,1.384751914,0.805105968,1.624102434,0.08806664199999999,-1.452963667,366
1,3.156753493,1,0,0.21669453600000002,0,0,1,0,1,0,0,0,0,1.43779989,1.6095128419999998,-0.065162464,-0.163486338,0.73193656,968
1,-0.127003865,1,0,1.372398725,0,0,0,1,0,0,0,0,1,-0.524975248,-0.746250146,0.13959691800000001,-0.163486338,-0.087401025,405
1,-1.063436572,0,1,-1.372398725,0,0,0,1,0,0,0,0,1,-0.790215132,-1.090995949,0.29316645399999997,-0.163486338,1.0050490890000001,289
1,-0.32677617600000003,0,1,1.661324773,0,1,0,0,0,0,0,0,1,0.111600473,0.7476483340000001,-1.088959372,-0.163486338,-1.452963667,388
