offset,PDemand Feature,Day1,Day2,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,School1 y
1,-1.206751871,0,0,0,0,0,1,0,0,0,0,1,-0.047543458,-0.344046709,0.44673599,-0.163486338,-1.452963667,-1.194696705
1,-0.414907565,0,1,0,1,0,0,0,0,0,0,1,0.270744403,-0.344046709,1.368153207,-0.163486338,0.45882403200000005,-0.473805908
1,1.369696766,0,0,0,0,1,0,1,0,0,0,0,1.225607984,1.8393433780000001,-0.7818203,-0.163486338,-0.087401025,1.322512144
1,-0.13126184400000002,0,0,0,0,0,1,0,0,0,0,1,-1.267646922,-1.493199386,-0.065162464,-0.163486338,1.551274146,-0.8637960109999999
1,-1.147659012,0,1,0,1,0,0,0,1,0,0,0,0.058552495999999996,0.0006990939999999999,-0.013972618999999999,-0.163486338,-0.087401025,-1.1474251770000001
1,1.818802491,0,0,0,0,1,0,1,0,0,0,0,0.854272147,2.1266315469999997,-1.600857826,-0.163486338,0.73193656,2.067038705
1,-0.639460428,0,1,0,1,0,0,0,1,0,0,0,0.80122417,0.517817799,0.6514953720000001,-0.163486338,0.45882403200000005,0.081634542
1,-0.8403761470000001,0,0,0,0,0,1,0,0,0,1,0,-1.267646922,-1.205911217,-0.6282507629999999,-0.163486338,0.73193656,-0.0010906310000000001
1,2.327001075,0,0,0,0,1,0,0,0,1,0,0,0.854272147,2.0117162790000003,-1.498478135,-0.163486338,-0.633626082,2.102492351
1,-0.6040047129999999,0,1,0,1,0,0,0,1,0,0,0,0.058552495999999996,0.23052963,-0.423491382,-0.163486338,-0.087401025,-0.591984727
1,1.3460596219999998,0,0,0,0,1,0,0,0,0,0,1,1.43779989,0.862563602,1.624102434,20.46385803,0.18571150399999997,1.192515443
1,-0.7340090020000001,0,0,0,0,0,1,0,0,0,1,0,-1.161550969,-1.2633688509999998,-0.269921846,-0.163486338,0.45882403200000005,-0.17835886
1,0.5542153160000001,0,1,0,1,0,0,0,0,0,1,0,-0.790215132,-0.344046709,-1.088959372,-0.163486338,0.73193656,0.554349819
1,-0.745827573,1,0,1,0,0,0,0,1,0,0,0,0.376840356,-0.114216173,1.061014135,0.591172603,1.0050490890000001,-0.686527782
1,-0.37945185,1,0,1,0,0,0,0,0,0,0,1,0.48293631,0.28798726399999997,0.395546145,-0.163486338,-1.452963667,-0.391080734
1,-1.041291866,0,0,0,0,1,0,0,0,0,0,1,0.854272147,0.173071996,1.726482125,-0.163486338,-1.452963667,-1.04106424
1,0.613308175,0,0,0,0,1,0,0,1,0,0,0,1.384751914,1.034936504,1.00982429,-0.163486338,-1.452963667,0.660710757
1,0.542396745,0,0,0,0,0,1,0,0,1,0,0,-0.36583131799999996,-1.148453583,1.726482125,-0.163486338,1.0050490890000001,0.093452424
1,1.0978696159999999,0,1,0,1,0,0,1,0,0,0,0,-1.798126689,-1.435741752,-1.242528908,-0.163486338,2.370611731,1.192515443
1,2.315182504,0,0,0,0,1,0,1,0,0,0,0,0.21769642600000003,1.149851771,-1.3960984440000002,-0.163486338,-1.452963667,2.516118218
1,0.625126747,0,0,0,0,1,0,0,0,0,0,1,1.384751914,1.034936504,1.00982429,-0.163486338,-0.633626082,0.625257111
1,-1.1949332990000001,1,0,1,0,0,0,0,0,0,0,1,0.695128216,0.34544489700000003,0.805064908,-0.163486338,0.18571150399999997,-1.206514587
1,-1.147659012,0,1,0,1,0,0,0,0,0,0,1,0.005504519,0.920021236,-1.44728829,-0.163486338,-0.633626082,-1.182878823
1,-1.289481873,0,1,0,1,0,0,0,0,0,0,1,0.058552495999999996,-0.631334878,1.572912589,0.591172603,0.45882403200000005,-1.277421878
1,-1.088566153,0,0,0,0,1,0,0,0,0,0,1,0.005504519,0.23052963,-0.525871073,-0.163486338,-0.633626082,-1.0883357679999999
1,-1.088566153,0,0,0,0,0,1,0,1,0,0,0,0.21769642600000003,-0.17167380699999998,0.753875063,-0.163486338,1.0050490890000001,-0.840160247
1,-0.9349247209999999,0,0,0,0,0,1,0,0,0,0,1,-0.524975248,-1.148453583,1.214583671,0.08806664199999999,0.45882403200000005,-0.98197483
